APP,commit url,types,cases,explanation,consequences,source-code locations,defect-triggering tests
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,,case3,The return result of the _load_history_messages function only includes the first question of the conversation.,IC,pilot/scene/base_chat.py/class BaseChat(ABC)/chat_retention_rounds,"1.Start a New Conversation:
2.Continue the Conversation:
The user sends multiple questions/messages in the conversation, creating a dialogue with at least two or more messages.
3.Trigger the _load_history_messages Function:
The system invokes the _load_history_messages function to retrieve the conversation history.
4.Observe the Function's Return Value:
The function returns only the first question of the conversation, failing to include the rest of the conversation history."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,Missing LLM input format validation,case1,can't handle excel with multi sheet,IC,dbgpt/app/scene/chat_data/chat_excel/excel_reader.py,"1.Enter the ChatExcel scenario.
2.Upload an xlsx file containing multiple sheets.
3.DB-GPT does not handle xlsx files with multiple sheets clearly."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,,case2,Can not upload big size csv file.,SL,"dbgpt/app/knowledge/api.py
dbgpt/rag/index/base.py","1.Add knowledge.
2.Upload documents.
3.Selcted csv file (which is bigger than 200KB)"
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,,case3,No possibility to chat with excel (always return errors),"ST,IC",pilot/scene/chat_data/chat_excel,"1.Enter the Chat Excel scenario.
2.Upload a .xlsx or .csv file.
3.Attempt to converse with the bot. A ""not allowed"" sign appears while typing; sometimes chatting works, but the answer always starts with an ERROR message and afterwards it returns a correct answer: ""Error! LLM response can't parse!""
4.Also in the analysis of the document, chinese letters and english letters mixed."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,,case4,exception when chat with ppt doc,"ST,IC",pilot/scene/chat_knowledge/v1/chat.py/generate_input_values,"1.Create a new chat knowledge with ppt
2.Upload and wait for Synch
3.Chat with this new space
4.Error occured unexpectedly. when chat via web console，exception raised:
  File ""d:\code\db-gpt\pilot\openapi\api_v1\api_v1.py"", line 449, in stream_generator
    async for chunk in chat.stream_call():
  File ""d:\code\db-gpt\pilot\scene\chat_knowledge\v1\chat.py"", line 61, in stream_call
    input_values = self.generate_input_values()
  File ""d:\code\db-gpt\pilot\scene\chat_knowledge\v1\chat.py"", line 95, in generate_input_values
    set([os.path.basename(d.metadata.get(""source"", """")) for d in docs])
  File ""d:\code\db-gpt\pilot\scene\chat_knowledge\v1\chat.py"", line 95, in <listcomp>
    set([os.path.basename(d.metadata.get(""source"", """")) for d in docs])
  File ""C:\Users\Peter\miniconda3\envs\dbgpt_env\lib\ntpath.py"", line 242, in basename
    return split(p)[1]
  File ""C:\Users\Peter\miniconda3\envs\dbgpt_env\lib\ntpath.py"", line 211, in split
    p = os.fspath(p)
TypeError: expected str, bytes or os.PathLike object, not int

And returned error is:
Sorry, We meet some error, please try agin later."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,Incompatible LLM output format,/,"When generating tables, if they are too long, they overflow. A scrollbar needs to be added.",UI,dbgpt/agent/plugin/commands/built_in/display_type/show_table_gen.py,"1.Upload an Excel file with over a dozen dimensions.
2.Start a conversation, where the chatbot generates the overflowing table."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,unnecessary LLM output,/,"Optimize Log Output to Reduce Redundancy
",UI,dbgpt/app/dbgpt_server.py,"1.Follow instructions on https://www.yuque.com/eosphoros/dbgpt-docs/owcrh9423f9rqkg2#LYjPt
2.Input:""Build sales reports and analyze user orders from at least three dimensions”
3.Terminal: warp.app or iterm.app"
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,exceeding  LLM content limit,case1,"Multi-turn dialogue configuration is not supported. The parameter need_historical_messages=True is set, but it does not work. The model is qwen72b.",UI,"dbgpt/app/scene/chat_db/auto_execute/prompt.py, chat.py","
1.Download and configure DB-GPT.
2.Set need_historical_messages=True in the dbgpt/app/scene/base.py file.
3.Start a conversation test using the qwen72b model and find that multi-turn dialogue is not supported."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,,case2,Apposition will be crushed when LLM is generating text,ST,"dbgpt/core/interface/llm.py
dbgpt/app/secne/chat_knowledge/v1/chat,py","1.Run server by:python dbgpt/app/dbgpt_server.py
2.Chat with knowledge
3.Chat with llm
4.For more than 2 or 3 questions it will crush down when llm is generating answers

LLM:chatglm3-6b embedding model: text2vec-large-chinese"
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,,case3,"When the input exceeds a certain length, the model inference freezes when using QWen-72B-Chat.",SL,dbgpt/model/llm_out/vllm_llm.py,"1. Start Qwen service using this command: CUDA_VISIBLE_DEVICES=4,5,6,7 dbgpt start worker --model_name Qwen-72B-Chat --model_path xxxxxx --model_type vllm --controller_addr http://localhost:8000 --gpu_memory_utilization 0.85
2.Enter the ""Chat Knowledge"" scenario.
3.Enter the following text: 
Many things happened in life that moved me, one of the most moving things is a day to buy balloons, my sister and my mother went to the bookstore to read books to buy books, I walked in the pedestrian street injury suddenly found a car selling balloons, there is no adults, only a little boy, he may be to help adults take care of the business, the car balloons colorful, Each color of the balloon tied with a white line, I saw the beautiful balloon called my mother to take me to buy, under my entanglement mother gave me 10 yuan, I took the money to the car, the little boy saw me come to say hello, I asked: ""How much is a balloon"", the little boy answered: ""50 cents, how many do you want.""
Touching story I said: ""Want four, give me red, yellow."" Blue and purple balloons."" I said as I handed the money, the little boy quickly unwrapped the red, yellow, blue, purple balloon to me and took the money to the past, I saw the little boy's face when he looked for the money, he did not have change for me. He raised his head with big intelligent eyes and whispered: ""The change is in my father's body, now can not be found, you take 4 balloons, 6 yuan I will give you a simulation to go first, OK!"" I held four balloons, with my mother and sister went to the Xinhua bookstore, after up to 2 hours of reading, I reluctantly walked out of the bookstore, after such a long time days are almost dark, I have long forgotten this matter, suddenly a little boy ran to say: ""Little sister, here's your six yuan, I'm sorry,"" he said as he shoved the money into my hand, then turned and ran away. I tightly hold the 6 yuan money with the remaining warmth, a warm spread on the heart, I was deeply moved by his behavior: how trustworthy little boy ah!

and the model inference freezes."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,,case4,"In .env file, set ""language"" to zh. After starting the service, it is found that large text files (greater than 2M) cannot be uploaded to the knowledge base, and their status remains as TODO.","IC,SL",pilot/server/knowledge/api.py//knowledge/{space_name}/document/upload,"1.In .env file, set ""language"" to zh.
2.Start DB-GPT, Enter ""Chat Knowledge"" scenario.
3.Try to upload large text files (greater than 2M) to knowledge bases, failed, and their status remains as TODO."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,knowledge misalignment,/,"After uploading the PDF, the chunk contents display as garbled text",IC,pilot/embedding_engine/pdf_embedding.py,"1.Enter the Chat Knowledge scenario.
2.Upload a PDF file.
3.After uploading the PDF, the chunk contents display as garbled text.
(LLM: vicuna-13b-v1.5
Embedding model: text2vec-large-chinese)"
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,improper text embedding,/,"
The Chinese data queried in the chat is garbled.",IC,dbgpt/app/scene/chat_data/chat_excel/excel_analyze/out_parser.py,"1.Enter the Chat Data scene and upload a Chinese data file.
2.During the conversation, the bot returns garbled Chinese data from the file.
3.Viewing the Chinese file in the database shows it displays normally."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,Out-of-sync LLM downstream tasks,/,when use gpt-4 upload ChatExcel，generate json error,"ST,IC",web/components/chat/header/excel-uploaded.tsx,"1.In the Chat Excel scenario, upload a large xlsx file (you can use the test file provided here: https://github.com/eosphoros-ai/DB-GPT/issues/1337).
2.Use GPT-4.
3.The JSON generation is too slow, causing it to be incomplete and resulting in a JSON parsing error."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,Imprecise knowledge retrieval,/,"Optimize api for query all knowledge spaces.When the number of spaces exceeds ten, it will be very slow. If there are more than ten, the results will not even be queried.",SL,"pilot/server/knowledge/document_db.py/get_knowledge_documents_count_bulk
pilot/server/knowledge/service.py/get_knowledge_space","1.Create more than 10 knowledge spaces.
2.Upload files to each knowledge space.
3.The response process of the /knowledge/space/list interface is very slow, making it difficult to promptly view the number of documents for each space."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,resource contention,/,An asynchronous programming error occurred while testing the chat data mode using Python SDK,ST,"dbgpt/client/client.py
The developer suggests the user to add client.aclose() in test code.","1.Install and configure DB-GPT using Docker.
2.Test the chat data mode using Python SDK. The test code is as follows：

import asyncio
from dbgpt.client import Client
async def main():
# initialize client
DBGPT_API_KEY = """"
client = Client(api_key=DBGPT_API_KEY)
#async for data in client.chat_stream(
# model=""tongyi_proxyllm"",
# messages=""hello"",
#):
# print(data)
res = await client.chat(model=""tongyi_proxyllm"" ,messages=""hello"")
print(res)
if name == ""main"":
asyncio.run(main())"
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,inefficient memory management,case1,"When using DB-GPT, with the continuous questioning, CUDA memory has been increasing until memory exploded","ST,IC",/,"1.Follow the tutorial to deploy DB-GPT on the ubuntu machine (https://github.com/eosphoros-ai/DB-GPT/README.md) (24g single-card GPU)
2.Continue to ask questions
3.Observe that CUDA memory kept increasing until memory exploded"
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,,case2,The metadata of the database cannot be updated,"IC,SL","dbgpt/storage/metadata/db_storage.py
dbgpt/app/base.py/_initialize_db_storage","1. Enter the ""Chat Data"" scene.The user  added a MySQL data source named dbgpt_test and tried to do some data conversations.
2. The user found that the effect was not ideal, and the large language model often gave some incorrect queries. Therefore, he/she/they tried to modify the table structure to generate more accurate SQL.
3. The user found that the table structure in the new prompt sent was still the same, even if he/she/they tried again the next day. The new table structure will only appear in the new prompt when he/she/they create and add a new database."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,,case3,in auto_plan multi-agent mode，memory did not work,IC,"dbgpt/serve/agent/team/plan/team_auto_plan.py/a_process_rely_message
dbgpt/agent/memory/gpts_memory.py
dbgpt/serve/agent/team/layout/agent_operator.py","1.Use the test data provided in the official documentation, with the agent only using DataScientist. 
2.Count the number of men and women in each country and display it using an appropriate chart."
eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT/tree/1519df7f0179be0957008e75fd27eafb9d6890f1,,case4,Vicuna-13b-1.5 model consumes memory with no limitation on Mac,SL,/,"1.Download vicuna-13b-v1.5 model files from https://huggingface.co/lmsys/vicuna-13b-v1.5
2.Start dbgpt_server.py on Mac with M2/M2 max/M2 ultra
3.Create the App according to https://www.yuque.com/eosphoros/dbgpt-docs/aiagvxeb86iarq6r
4.Input ""Please group orders by product category to calculate total sales, average sales, and number of transactions"" in the text field, the App would inference the result.
5.The consumed memory on the device will increase continually."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,Unclear context in prompt,case1,"When using ""Chat Knowledge"", answers may include information not present in the knowledge documents, often resulting in fabricated or nonsensical responses.",IC,dbgpt/core/interface/prompt.py,"1.Enter the ""Chat Knowledge"" scene
2.Upload knowledge documents in md format
3.Start the conversation"
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,,case2,The response generated by the LLM does not reference the knowledge base.,IC,dbgpt/core/interface/prompt.py,"1.Enter the Chat Knowledge scenario.
2.Upload a .txt knowledge file to the knowledge base.
3.Ask a question about the file. In the background, it can be observed that the content from the .txt file has been converted into a prompt and sent to the LLM, but the LLM's response does not reference the knowledge file.

llm: chatglm-6b."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,lacking restrictions in prompt,/,Application error: a client-side exception has occurred,"IC,SL",dbgpt/core/interface/output_parser.py,"1.Enter the ""Chat Data"" scenario and ask a question that cannot generate an SQL query.
2.The bot responds, ""The provided table structure information is insufficient to generate an SQL query."" Meanwhile, the frontend displays: ""Application error: a client-side exception has occurred (see the browser console for more information),"" affecting users's seamless experience."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,insufficient history management,case1,Cannot view previous chat records.,IC,docs/docs/application/started_tutorial/chat_dashboard.md,"1.Enter the ""Dashboard"" scene.
2.Attempt to view previous chats, but their chat reports cannot be viewed."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,,case2,"The ""Reporter"" lacks historical messages, Missing Context Information in Interactions with Large Language Model",IC,"
dbgpt/agent/agents/expand/dashboard_assistant_agent.py","1.Write a data analysis assistant application through Multi-Agents. (follow:https://www.yuque.com/eosphoros/dbgpt-docs/owcrh9423f9rqkg2#LYjPt)
2.Input : ""Generate three sales reports, analyze user orders, and conduct analysis from at least three dimensions."""
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,,case3,The return result of the _load_history_messages function only includes the first question of the conversation.,IC,dbgpt/agent/agents/expand/dashboard_assistant_agent.py,"1.Enter the Chat Data scenario.
2.Engage in multiple rounds of conversation.
3.Observe the return value of the _load_history_messages function in the log. The function's return result only includes the first question of the conversation."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,Missing LLM input format validation,case1,can't handle excel with multi sheet,IC,dbgpt/app/scene/chat_data/chat_excel/excel_reader.py,"1.Enter the ChatExcel scenario.
2.Upload an xlsx file containing multiple sheets.
3.DB-GPT does not handle xlsx files with multiple sheets clearly."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,,case2,Can not upload big size csv file.,SL,"dbgpt/app/knowledge/api.py
dbgpt/app/base.py","1.Add knowledge.
2.Upload documents.
3.Selcted csv file (which is bigger than 200KB)"
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,,case3,No possibility to chat with excel (always return errors),"ST,IC",docs/docs/application/started_tutorial/chat_excel.md,"1.Enter the Chat Excel scenario.
2.Upload a .xlsx or .csv file.
3.Attempt to converse with the bot. A ""not allowed"" sign appears while typing; sometimes chatting works, but the answer always starts with an ERROR message and afterwards it returns a correct answer: ""Error! LLM response can't parse!""
4.Also in the analysis of the document, chinese letters and english letters mixed."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,,case4,exception when chat with ppt doc,"ST,IC",dbgpt/app/scene/chat_agent/chat.py/generate_input_values,"1.Create a new chat knowledge with ppt
2.Upload and wait for Synch
3.Chat with this new space
4.Error occured unexpectedly. when chat via web console，exception raised:
  File ""d:\code\db-gpt\pilot\openapi\api_v1\api_v1.py"", line 449, in stream_generator
    async for chunk in chat.stream_call():
  File ""d:\code\db-gpt\pilot\scene\chat_knowledge\v1\chat.py"", line 61, in stream_call
    input_values = self.generate_input_values()
  File ""d:\code\db-gpt\pilot\scene\chat_knowledge\v1\chat.py"", line 95, in generate_input_values
    set([os.path.basename(d.metadata.get(""source"", """")) for d in docs])
  File ""d:\code\db-gpt\pilot\scene\chat_knowledge\v1\chat.py"", line 95, in <listcomp>
    set([os.path.basename(d.metadata.get(""source"", """")) for d in docs])
  File ""C:\Users\Peter\miniconda3\envs\dbgpt_env\lib\ntpath.py"", line 242, in basename
    return split(p)[1]
  File ""C:\Users\Peter\miniconda3\envs\dbgpt_env\lib\ntpath.py"", line 211, in split
    p = os.fspath(p)
TypeError: expected str, bytes or os.PathLike object, not int

And returned error is:
Sorry, We meet some error, please try agin later."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,Incompatible LLM output format,/,"When generating tables, if they are too long, they overflow. A scrollbar needs to be added.",UI,"
dbgpt/agent/plugin/commands/built_in/display_type/show_table_gen.py","1.Upload an Excel file with over a dozen dimensions.
2.Start a conversation, where the chatbot generates the overflowing table."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,unnecessary LLM output,/,"Optimize Log Output to Reduce Redundancy
","UI,TK",dbgpt/app/dbgpt_server.py,"1.Follow instructions on https://www.yuque.com/eosphoros/dbgpt-docs/owcrh9423f9rqkg2#LYjPt
2.Input:""Build sales reports and analyze user orders from at least three dimensions”
3.Terminal: warp.app or iterm.app"
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,exceeding  LLM content limit,case1,"Multi-turn dialogue configuration is not supported. The parameter need_historical_messages=True is set, but it does not work. The model is qwen72b.",UI,"dbgpt/core/interface/prompt.py
dbgpt/app/scene/chat_agent/chat.py ","
1.Download and configure DB-GPT.
2.Set need_historical_messages=True in the dbgpt/app/scene/base.py file.
3.Start a conversation test using the qwen72b model and find that multi-turn dialogue is not supported."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,,case2,Apposition will be crushed when LLM is generating text,ST,"dbgpt/core/interface/llm.py
dbgpt/app/scene/chat_agent/chat.py ","1.Run server by:python dbgpt/app/dbgpt_server.py
2.Chat with knowledge
3.Chat with llm
4.For more than 2 or 3 questions it will crush down when llm is generating answers

LLM:chatglm3-6b embedding model: text2vec-large-chinese"
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,,case3,"When the input exceeds a certain length, the model inference freezes when using QWen-72B-Chat.",SL,dbgpt/model/llm_out/vllm_llm.py,"1. Start Qwen service using this command: CUDA_VISIBLE_DEVICES=4,5,6,7 dbgpt start worker --model_name Qwen-72B-Chat --model_path xxxxxx --model_type vllm --controller_addr http://localhost:8000 --gpu_memory_utilization 0.85
2.Enter the ""Chat Knowledge"" scenario.
3.Enter the following text: 
Many things happened in life that moved me, one of the most moving things is a day to buy balloons, my sister and my mother went to the bookstore to read books to buy books, I walked in the pedestrian street injury suddenly found a car selling balloons, there is no adults, only a little boy, he may be to help adults take care of the business, the car balloons colorful, Each color of the balloon tied with a white line, I saw the beautiful balloon called my mother to take me to buy, under my entanglement mother gave me 10 yuan, I took the money to the car, the little boy saw me come to say hello, I asked: ""How much is a balloon"", the little boy answered: ""50 cents, how many do you want.""
Touching story I said: ""Want four, give me red, yellow."" Blue and purple balloons."" I said as I handed the money, the little boy quickly unwrapped the red, yellow, blue, purple balloon to me and took the money to the past, I saw the little boy's face when he looked for the money, he did not have change for me. He raised his head with big intelligent eyes and whispered: ""The change is in my father's body, now can not be found, you take 4 balloons, 6 yuan I will give you a simulation to go first, OK!"" I held four balloons, with my mother and sister went to the Xinhua bookstore, after up to 2 hours of reading, I reluctantly walked out of the bookstore, after such a long time days are almost dark, I have long forgotten this matter, suddenly a little boy ran to say: ""Little sister, here's your six yuan, I'm sorry,"" he said as he shoved the money into my hand, then turned and ran away. I tightly hold the 6 yuan money with the remaining warmth, a warm spread on the heart, I was deeply moved by his behavior: how trustworthy little boy ah!

and the model inference freezes."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,,case4,"In .env file, set ""language"" to zh. After starting the service, it is found that large text files (greater than 2M) cannot be uploaded to the knowledge base, and their status remains as TODO.","IC,SL",web/components/knowledge/doc-upload-form.tsx,"1.In .env file, set ""language"" to zh.
2.Start DB-GPT, Enter ""Chat Knowledge"" scenario.
3.Try to upload large text files (greater than 2M) to knowledge bases, failed, and their status remains as TODO."
uukuguy/DB-GPT-Lite,https://github.com/uukuguy/DB-GPT-Lite/tree/d857cb71f2c19e8535d0f5e9692e15c4e4dd100d,knowledge misalignment,/,"After uploading the PDF, the chunk contents display as garbled text",IC,dbgpt/model/cluster/worker/embedding_worker.py,"1.Enter the Chat Knowledge scenario.
2.Upload a PDF file.
3.After uploading the PDF, the chunk contents display as garbled text.
(LLM: vicuna-13b-v1.5
Embedding model: text2vec-large-chinese)"
